scenario,galaxy,primary_winner,expanded_winner,same_winner_label,same_winner_shape,same_confidence_set,maximum_chi2_improvement_under_expanded_bounds,primary_boundary_fit_count,expanded_boundary_fit_count,k2_decision_changed
primary,DDO154,k2_Q,k2_Q,True,True,True,0.13911132613333166,14,11,False
primary,NGC2403,C_k12_L,C_k12_L,True,True,True,0.003375995729584247,14,10,False
primary,NGC2841,k2_L,k2_L,True,True,True,0.001076829750672914,19,9,False
primary,NGC2903,k2_L,k2_L,True,True,True,0.16757471229470866,20,13,False
primary,NGC2976,cored_log,cored_log,True,True,True,0.04254568758724986,24,17,False
primary,NGC3198,cored_log,k2,False,True,True,0.0006386004388332367,13,7,False
primary,NGC3521,C_L,C_L,True,True,True,0.004845058653366152,17,14,False
primary,NGC5055,k2_L,k2_L,True,True,True,0.9675628643553864,21,12,False
primary,NGC6946,k2,k2,True,True,True,0.04911448742382163,21,12,False
primary,NGC7331,k2_L,k2_L,True,True,True,2.845607657730227,25,17,False
primary,NGC7793,k2_L_Q,k2_L_Q,True,True,True,0.13654917995993188,15,11,False
light,DDO154,k2_Q,k2_Q,True,True,True,0.1526982928262015,13,11,False
light,NGC2403,C_k12,C_k12,True,True,True,0.0043056123540736735,13,9,False
light,NGC2841,k2_L,k2_L,True,True,True,11.633460280636115,10,4,False
light,NGC2903,k2_Q,k2_Q,True,True,True,0.0008432785834884271,18,12,False
light,NGC2976,cored_log,k2,False,True,True,0.06393268717285139,22,18,False
light,NGC3198,k2_L,k2_L,True,True,True,0.0008151295478455722,17,10,False
light,NGC3521,k2_L,k2_L,True,True,True,0.6919109552229783,15,7,False
light,NGC5055,C_k2_L,C_k2_L,True,True,True,0.0028226450958754867,8,3,False
light,NGC6946,C_k2_L,C_k2_L,True,True,True,0.00036222282142261975,11,6,False
light,NGC7331,k2_L,k2_L,True,True,True,0.0005745942034991458,14,8,False
light,NGC7793,L_Q,L_Q,True,True,True,0.1505781015724601,14,11,False
heavy,DDO154,k2_Q,k2_Q,True,True,True,0.12376519144198994,16,11,False
heavy,NGC2403,C_k2_L,C_k2_L,True,True,True,0.0027309843862894922,16,12,False
heavy,NGC2841,k2_L,k2_L,True,True,True,0.0008720465229998808,19,11,False
heavy,NGC2903,k2_L,k2_L,True,True,True,0.00030028629407752305,21,15,False
heavy,NGC2976,pISO,pISO,True,True,True,0.06122639721156631,23,18,False
heavy,NGC3198,k2,cored_log,False,True,True,0.0005176143458811566,14,7,False
heavy,NGC3521,k2_L,k2_L,True,True,True,1.1071053661973735,30,26,False
heavy,NGC5055,k2_L,k2_L,True,True,True,458.0417288399294,26,19,False
heavy,NGC6946,k2_L,k2_L,True,True,True,8.495647233843101,23,18,False
heavy,NGC7331,k2_L,k2_L,True,True,True,20.016061258829495,26,23,False
heavy,NGC7793,k2_Q,k2_Q,True,True,True,0.20847879250455748,16,11,False
