scenario,galaxy,best_model,models_delta_aicc_le_2,best_logsvt_reduction,piso_minus_cored_log_delta_aicc,piso_minus_cored_log_delta_bic,piso_minus_best_logsvt_delta_aicc,piso_minus_best_logsvt_delta_bic,cored_log_minus_best_logsvt_delta_aicc,cored_log_minus_best_logsvt_delta_bic,k2_term_necessary,cored_log_shape_necessary,best_non_cored_shape,best_non_cored_shape_delta_aicc
primary,DDO154,k2_Q,k2_Q,k2_Q,12.08472485336738,12.08472485336738,15.466824439597094,16.64858445647576,3.382099586229714,4.56385960310838,True,True,pISO,15.466824439597094
primary,NGC2403,C_k12_L,C_k2_L;C_k12_L,C_k12_L,-370.362789699818,-370.362789699818,405.908747089293,399.761462582479,776.271536789111,770.124252282297,True,True,NFW,97.09710901157382
primary,NGC2841,k2_L,k2_L,k2_L,5.16865138202796,5.16865138202796,7.397331821587031,5.751728797657506,2.2286804395590707,0.5830774156295462,True,True,pISO,7.397331821587031
primary,NGC2903,k2_L,k2_L,k2_L,43.66046140903018,43.66046140903018,80.71153613550626,79.59807883669657,37.05107472647609,35.937617427666396,True,True,pISO,80.71153613550626
primary,NGC2976,cored_log,k2;k2_L;cored_log;pISO,k2,0.04016777833706087,0.04016777833706087,0.040167778337051985,0.040167778337051985,-8.881784197001252e-15,-8.881784197001252e-15,False,False,pISO,0.04016777833706087
primary,NGC3198,cored_log,k2;k12;k12_L;C_k2;cored_log,k2,17.46406769998343,17.46406769998343,17.464067699983424,17.464067699983424,-7.105427357601002e-15,-7.105427357601002e-15,False,True,pISO,17.46406769998343
primary,NGC3521,C_L,C_L;C_k2,C_L,-4.146736893146397,-4.146736893146397,21.883857909701923,21.88385790970192,26.03059480284832,26.030594802848317,False,False,C_L,0.0
primary,NGC5055,k2_L,k2_L,k2_L,220.79392317988732,220.79392317988732,577.1446346260934,576.3324301159181,356.3507114462061,355.5385069360308,True,True,pISO,577.1446346260934
primary,NGC6946,k2,k2;k2_L;cored_log,k2,4.342121488512689,4.342121488512689,4.342121488512703,4.342121488512703,1.4210854715202004e-14,1.4210854715202004e-14,False,True,pISO,4.342121488512703
primary,NGC7331,k2_L,k2_L,k2_L,1.5533445037211493,1.5533445037211493,30.997108652202044,29.79995335010956,29.443764148480895,28.246608846388412,True,True,pISO,30.997108652202044
primary,NGC7793,k2_L_Q,k2_L_Q;k12_Q;k12_L,k2_L_Q,-3.322436400874068,-3.322436400874068,15.531744184964662,12.571001380642173,18.85418058583873,15.89343778151624,True,True,L_Q,3.95910782277409
light,DDO154,k2_Q,k2;k2_Q;k2_L_Q;k12_Q;k12_L;C_k2_Q;cored_log,k2_Q,9.019712551381755,9.019712551381755,9.245880474939533,10.427640491818197,0.22616792355777804,1.4079279404364424,False,True,pISO,9.245880474939533
light,NGC2403,C_k12,C_k12;C_k12_L,C_k12,-634.748480382589,-634.748480382589,372.34604494534267,368.18193278573506,1007.0945253279317,1002.9304131683241,True,True,NFW,26.326585598410475
light,NGC2841,k2_L,k2_L,k2_L,7.894106874308136,7.894106874308122,18.786423525601435,17.140820501671897,10.8923166512933,9.246713627363775,True,True,k1_L,11.633457440857015
light,NGC2903,k2_Q,k2_Q;k2_L;k2_L_Q,k2_Q,36.099879627351726,36.099879627351726,41.249915694558354,40.13645839574869,5.150036067206628,4.036578768396964,True,True,pISO,41.249915694558354
light,NGC2976,cored_log,k2;k2_Q;cored_log;pISO,k2,0.18026714810842748,0.18026714810842748,0.18026714810842037,0.18026714810842037,-7.105427357601002e-15,-7.105427357601002e-15,False,False,pISO,0.18026714810842748
light,NGC3198,k2_L,k2_L,k2_L,61.65027178080845,61.65027178080845,75.1175179617185,73.67170246140955,13.467246180910053,12.021430680601107,True,True,NFW,43.793483125173694
light,NGC3521,k2_L,k1_L;k2_L;k12,k2_L,-8.436041632712971,-8.436041632712971,4.9971552069163305,3.616442315176462,13.433196839629302,12.052483947889433,False,False,k1_L,0.6919109269738417
light,NGC5055,C_k2_L,C_k2_L,C_k2_L,58.64177222086124,58.64177222086124,187.23049233245712,185.82521374688932,128.58872011159588,127.18344152602808,True,True,NFW,14.471719407927253
light,NGC6946,C_k2_L,C_k2_Q;C_k2_L,C_k2_L,1.1971652559860075,1.1971652559860075,33.52274293600631,29.93839207786374,32.3255776800203,28.74122682187773,True,True,k1_L,7.190662996556256
light,NGC7331,k2_L,k2_L,k2_L,-28.32637162825766,-28.326371628257668,26.498084453553012,25.300929151460537,54.82445608181067,53.627300779718205,True,True,k1_L,4.255062453816386
light,NGC7793,L_Q,L_Q;k2_L_Q;k12_Q;k12_L,L_Q,-9.930942584340812,-9.930942584340812,21.17394062548693,21.173940625486928,31.104883209827744,31.10488320982774,False,False,L_Q,0.0
heavy,DDO154,k2_Q,k2_Q,k2_Q,14.621199214380464,14.621199214380464,21.656618180541543,22.83837819742021,7.035418966161078,8.217178983039744,True,True,pISO,21.656618180541543
heavy,NGC2403,C_k2_L,C_k2_L,C_k2_L,-30.80808153069563,-30.80808153069563,155.78306032511762,151.61894816551,186.59114185581325,182.42702969620564,True,True,pISO,155.78306032511762
heavy,NGC2841,k2_L,k2_L,k2_L,-19.937431867700937,-19.937431867700937,14.577512398165652,12.931909374236128,34.51494426586659,32.869341241937065,True,True,k1_L,10.57213746396134
heavy,NGC2903,k2_L,k2_L,k2_L,28.390278172119224,28.390278172119224,541.6848615742017,540.5714042753918,513.2945834020825,512.1811261032726,True,True,pISO,541.6848615742017
heavy,NGC2976,pISO,k2;k2_L;cored_log;pISO,k2,-3.7157427183132086e-05,-3.7157427183132086e-05,-3.71574271866848e-05,-3.71574271866848e-05,-3.552713678800501e-15,-3.552713678800501e-15,False,False,pISO,0.0
heavy,NGC3198,k2,k2;C_k2;cored_log,k2,19.21882050282948,19.21882050282948,19.218820502829495,19.218820502829495,1.4210854715202004e-14,1.4210854715202004e-14,False,True,pISO,19.218820502829495
heavy,NGC3521,k2_L,k2_L,k2_L,8.248779916186777e-05,8.248779916186777e-05,90.45316357133072,89.07245067959086,90.45308108353156,89.0723681917917,True,True,pISO,90.45316357133072
heavy,NGC5055,k2_L,k2_L,k2_L,12.148685174235652,12.148685174235652,11636.463085135172,11635.650880624999,11624.314399960938,11623.502195450761,True,True,pISO,11636.463085135172
heavy,NGC6946,k2_L,k2_L;k12_L,k2_L,0.3807292928424886,0.3807292928424886,336.69542488719026,334.86124450290646,336.31469559434777,334.48051521006397,True,True,pISO,336.69542488719026
heavy,NGC7331,k2_L,k2_L,k2_L,0.0009574768109814613,0.0009574768109814613,794.5165811256903,793.319425823598,794.5156236488793,793.318468346787,True,True,pISO,794.5165811256903
heavy,NGC7793,k2_Q,k2_Q;k2_L_Q;k12_Q;C_k2_Q,k2_Q,1.5186492222130639,1.5186492222130568,8.88133176150647,7.345049169004085,7.362682539293406,5.826399946791028,True,True,pISO,8.88133176150647
