bounds,scenario,galaxy,points,model,family,parameter_count,chi2,chi2_reduced,aicc,delta_aicc,bic,delta_bic,condition_number,practical_rank,rank,maximum_absolute_correlation,boundary_parameters,parameters_dimensionless,delta_aicc_vs_pISO,delta_bic_vs_pISO,delta_aicc_vs_cored_log,delta_bic_vs_cored_log
primary,primary,DDO154,12,baryons,logsvt,0,70395.93204834746,5866.327670695621,70395.93204834746,70381.28348598561,70395.93204834746,70382.82876603625,,0,0,,,{},70365.81666154602,70366.18018157977,70377.90138639939,70378.26490643313
primary,primary,DDO154,12,Q,logsvt,1,70395.93367022953,6399.63033365723,70398.33367022952,70383.68510786767,70398.41857687931,70385.3152945681,1.0,1,1,0.0,logQ,"{""Q"": 1.5229979744712682e-08}",70368.21828342808,70368.66671011162,70380.30300828145,70380.75143496499
primary,primary,DDO154,12,L,logsvt,1,218.7994124644094,19.89085567858267,221.1994124644094,206.5508501025632,221.2843191141974,208.1810368029872,1.0,1,1,0.0,,"{""L"": 1.4433592219188767}",191.08402566296613,191.53245234651143,203.1687505163335,203.61717719987882
primary,primary,DDO154,12,L_Q,logsvt,2,102.11527717651254,10.211527717651254,107.44861050984586,92.80004814799969,107.08509047608854,93.98180816487836,13.630951354032435,2,2,0.9781768576085744,,"{""L"": 1.8414036807690062, ""Q"": 0.6383469967576397}",77.33322370840258,77.3332237084026,89.41794856176998,89.41794856176998
primary,primary,DDO154,12,k1,logsvt,2,120.50423797121803,12.050423797121804,125.83757130455136,111.18900894270519,125.47405127079404,112.37076895958386,41.35266289080916,2,2,0.998753794097535,,"{""B"": 1.9513674013453073, ""u1"": 0.4791923757407308}",95.72218450310808,95.7221845031081,107.80690935647547,107.80690935647547
primary,primary,DDO154,12,k1_Q,logsvt,3,102.11527759337439,11.346141954819377,111.11527759337439,96.46671523152821,109.56999754273839,96.46671523152821,657129815.5409353,2,3,0.9999999531418102,,"{""B"": 16168.887670923477, ""Q"": 0.6382421458172768, ""u1"": 5.694280640053645e-05}",80.99989079193111,79.81813077505245,93.0846156452985,91.90285562841983
primary,primary,DDO154,12,k1_L,logsvt,3,102.39558283726451,11.37728698191828,111.39558283726451,96.74702047541834,109.85030278662852,96.74702047541834,117049279.93364511,2,3,0.9999999605764451,L,"{""B"": 8078.954278086941, ""L"": -99.99999999999999, ""u1"": 0.00630291827905222}",81.28019603582123,80.09843601894258,93.36492088918862,92.18316087230995
primary,primary,DDO154,12,k1_L_Q,logsvt,4,102.1152773403632,12.7644096675454,115.82956305464891,101.18100069280274,112.05490393951521,98.95162162830503,754449420.753743,2,4,0.9999868592574442,,"{""B"": 0.003585387161148963, ""L"": 1.8413540703610916, ""Q"": 0.6383466616108028, ""u1"": 0.006918995963242025}",85.71417625320564,82.30303717182927,97.79890110657303,94.38776202519665
primary,primary,DDO154,12,k2,logsvt,2,12.697328614742535,1.2697328614742536,18.030661948075867,3.3820995862296854,17.667141914318535,4.563859603108352,11.28285221076318,2,2,0.9611354024644404,,"{""B"": 0.33730813583222896, ""u2"": 5.381668006500473}",-12.084724853367408,-12.084724853367408,-2.842170943040401e-14,-2.842170943040401e-14
primary,primary,DDO154,12,k2_Q,logsvt,3,5.6485623618461815,0.6276180402051312,14.648562361846182,0.0,13.103282311210183,0.0,102.22364396390343,3,3,0.9819832145443038,,"{""B"": 0.4353540185471092, ""Q"": 0.33288602354824604, ""u2"": 3.9080363736930956}",-15.466824439597094,-16.64858445647576,-3.382099586229714,-4.56385960310838
