name,source_class,robust,named_anchor,matched_udgs,quality_note,distance_mpc,distance_error_mpc,rdisk_kpc,inclination_deg,inclination_error_deg,vcirc_kms,vcirc_error_kms,rout_kpc,mstar_msun,mhi_msun,mgas_msun,mbar_msun,fgas,gamma_dyn_gyr_inv,gamma_gas_gyr_inv,sigma_bar_msun_kpc2,dout,log10_dout,sigma_log10_dout
AGC114905,UDG,True,False,[],two independent rings,76,5,1.79,33,5,19,5.0,8.02,199526231.49688828,1071519305.2376049,1425120675.9660146,1624646907.462903,0.8771879412195019,35.69715021865433,31.313109707704683,80699911.39530043,0.4143451190866909,-0.38263777270347615,0.24171014774904573
AGC122966,UDG,True,False,[],two independent rings,90,5,4.15,34,5,37,5.5,10.8,53703179.63702533,1174897554.9395304,1562613748.0695755,1616316927.706601,0.9667743505518902,10.086133560443175,9.751015222477074,14936555.589932421,2.1268669741385526,0.3277403276064244,0.14001870206662761
AGC219533,UDG,True,False,[],two independent rings,96,5,2.35,42,5,37,5.5,9.78,109647819.61431828,1621810097.3589332,2157007429.4873815,2266655249.1017,0.9516257182658134,28.030093146692057,26.674157523778483,65323564.90352682,1.3733982126472537,0.13779647786382215,0.21577089123497184
AGC248945,UDG,True,False,[],two independent rings,84,5,2.08,66,5,27,3.0,8.55,331131121.4825908,602559586.0743569,801404249.4788947,1132535370.9614854,0.7076196205673725,23.793837106364307,16.83698598504738,41662491.33573728,1.2796214566932465,0.10708151372322126,0.1251304199347201
AGC334315,UDG,True,False,[],two independent rings,73,5,3.76,45,5,25,5.0,8.49,85113803.82023759,1258925411.794166,1674370797.686241,1759484601.5064785,0.9516257182658133,12.202380605416076,11.612099208181904,19807511.290730376,0.7011999598108698,-0.15415811746974006,0.20038043787263646
AGC749290,UDG,False,False,[],rings oversampled by factor 1.7,97,5,2.38,39,5,26,6.0,8.47,208929613.0854041,954992586.0214369,1270140139.4085112,1479069752.4939153,0.8587425557630937,22.215827339824628,19.07767634819261,41558022.436112,0.9000799673103957,-0.045718904095305754,0.2138588594222182
DDO154,SPARC,True,True,[],SPARC Q=2; 12 radial rows,4.04,0.2,0.37,64.0,3.0,47.0,1.0,5.92,26500000.0,275000000.0,365750000.0,392250000.0,0.9324410452517528,186.64333639906621,174.0339076812198,456015532.70851684,7.75164929115843,0.8893941156474423,0.03
DDO161,SPARC,True,False,"[""AGC114905""]",SPARC Q=1; 31 radial rows,7.5,2.25,1.22,70.0,10.0,66.3,1.9,13.37,274000000.0,1378000000.0,1832740000.0,2106740000.0,0.8699412362227897,72.24359075109241,62.84767864717863,225274176.84051302,6.486152691333082,0.8119871682381017,0.1326538327491318
DDO170,SPARC,True,False,"[""AGC114905"", ""AGC248945""]",SPARC Q=2; 8 radial rows,15.4,4.62,1.95,66.0,7.0,60.0,1.6,12.33,271500000.0,735000000.0,977550000.0,1249050000.0,0.7826348024498619,27.527805685144525,21.54421876427127,52279416.612473875,8.262764956813118,0.9171253989611017,0.13243394443863635
F583-1,SPARC,True,False,"[""AGC219533""]",SPARC Q=1; 25 radial rows,35.4,8.85,2.36,63.0,5.0,85.8,3.6,16.26,493000000.0,2126000000.0,2827580000.0,3320580000.0,0.8515319612838721,33.711072425628274,28.706055619577903,94887733.57729207,8.381481957618464,0.9233208144672338,0.11468829184159786
IC2574,SPARC,True,False,"[""AGC122966"", ""AGC334315""]",SPARC Q=2; 34 radial rows,3.91,0.2,2.78,75.0,7.0,66.4,2.0,10.23,508000000.0,1036000000.0,1377880000.0,1885880000.0,0.7306297325386557,19.87116972085621,14.518467418379405,38836903.37950205,5.560801376085707,0.7451373829728727,0.03434912450790657
UGC00731,SPARC,True,False,"[""AGC122966"", ""AGC219533"", ""AGC334315""]",SPARC Q=1; 12 radial rows,12.5,3.75,2.3,57.0,3.0,73.3,2.3,10.91,161500000.0,1807000000.0,2403310000.0,2564810000.0,0.9370323727683532,30.794236746241058,28.85519672592067,77164875.1590783,5.313946123162476,0.7254171468879859,0.13311817297898348
UGC07399,SPARC,True,False,"[""AGC248945""]",SPARC Q=1; 10 radial rows,8.43,2.53,1.64,55.0,3.0,103.0,3.3,6.13,578000000.0,745000000.0,990850000.0,1568850000.0,0.6315772699748223,39.99986615691519,25.263006266742785,92835452.28648129,9.638138153088326,0.9839931471876323,0.13331895731860627
