galaxy,scenario,model,family,points,parameter_count,chi2,chi2_reduced,aicc,delta_aicc,bic,delta_bic,parameters_dimensionless,boundary_parameters,rank,practical_rank,condition_number,maximum_absolute_correlation,optimizer_success
DDO154,primary,baryons,logsvt,12,0,70395.93204834746,5866.327670695621,70395.93204834746,70381.28348598561,70395.93204834746,70382.82876603625,{},[],0,0,,,True
DDO154,primary,NFW,nfw,12,2,117.7120807622137,11.77120807622137,123.04541409554703,108.39685173370093,122.6818940617897,109.5786117505796,"{""V200"": 1.449565653717756, ""c"": 4.958204936504806}",[],2,2,26.515550155435744,0.9970758655330996,True
DDO154,primary,pISO,piso,12,2,24.782053468109957,2.478205346810996,30.11538680144329,15.466824439597186,29.751866767685957,16.648584456475852,"{""H"": 1.813756530621297, ""Rc"": 0.26665752181370433}",[],2,2,9.896762461898179,0.9778366390090036,True
DDO154,primary,cored_log,cored_log,12,2,12.69732861474257,1.2697328614742571,18.030661948075903,3.382099586229799,17.66714191431857,4.563859603108465,"{""H"": 1.3492325463753452, ""Rc"": 0.43106379701181907}",[],2,2,7.50718982286233,0.9611354039959773,True
DDO154,primary,k2,logsvt,12,2,12.697328614742549,1.269732861474255,18.03066194807588,3.382099586229778,17.66714191431855,4.563859603108444,"{""B"": 0.33730813701953777, ""u2"": 5.381667952222859}",[],2,2,11.282853148068847,0.9611354071583604,True
DDO154,primary,k2_Q,logsvt,12,3,5.648562361846104,0.6276180402051227,14.648562361846103,0.0,13.103282311210105,0.0,"{""B"": 0.4353540179451459, ""Q"": 0.33288601907790694, ""u2"": 3.9080363708844748}",[],3,3,102.2236085523006,0.981983204242181,True
DDO154,primary,k2_L,logsvt,12,3,9.142126954460979,1.0157918838289977,18.142126954460977,3.4935645926148737,16.596846903824982,3.4935645926148773,"{""B"": 0.40517159089218574, ""L"": -0.2529736476411684, ""u2"": 5.0541336115803706}",[],3,3,43.94780662991481,0.9826337898933449,True
DDO154,primary,C_L,logsvt,12,2,204.72787267169497,20.472787267169497,210.0612060050283,195.4126436431822,209.69768597127097,196.59440366006086,"{""C"": 0.05862033002725064, ""L"": 1.34361005497865}",[],2,2,33.51456685883064,0.9569246804931634,True
DDO154,primary,k2_L_Q,logsvt,12,4,4.690745767128628,0.5863432208910785,18.405031481414344,3.7564691195682407,14.630372366280628,1.5270900550705235,"{""B"": 0.4415400044754065, ""L"": 0.2662169520892484, ""Q"": 0.5751385038929614, ""u2"": 3.2046033266048335}",[],4,4,155.04330369653744,0.980510052426279,True
DDO154,light,baryons,logsvt,12,0,72680.25605150506,6056.688004292088,72680.25605150506,72662.93780849293,72680.25605150506,72665.98559960147,{},[],0,0,,,True
DDO154,light,NFW,nfw,12,2,100.87405791547799,10.087405791547798,106.20739124881132,88.88914823669323,105.843871215054,91.57341931146927,"{""V200"": 1.3869955567759755, ""c"": 5.275286490374779}",[],2,2,24.77522154589265,0.996626924103652,True
DDO154,light,pISO,piso,12,2,21.230790153724218,2.1230790153724217,26.56412348705755,9.245880474939465,26.200603453300218,11.930151549715491,"{""H"": 1.7774675055560663, ""Rc"": 0.25571929509651614}",[],2,2,9.702555884263214,0.9764610601793762,True
DDO154,light,cored_log,cored_log,12,2,12.211077602342558,1.2211077602342557,17.544410935675888,0.2261679235578029,17.18089090191856,2.9104389983338326,"{""H"": 1.3323840493701353, ""Rc"": 0.4172848867638199}",[],2,2,7.332916589008739,0.9583326599791845,True
DDO154,light,k2,logsvt,12,2,12.21107760234256,1.221107760234256,17.54441093567589,0.22616792355780646,17.18089090191856,2.9104389983338326,"{""B"": 0.3330960119062103, ""u2"": 5.742945438918593}",[],2,2,11.198721155253997,0.958332658328642,True
DDO154,light,k2_Q,logsvt,12,3,8.318243012118085,0.9242492235686761,17.318243012118085,0.0,15.772962961482087,1.50251105789736,"{""B"": 0.39740388424528234, ""Q"": 0.23004079575722874, ""u2"": 4.549102646218826}",[],3,3,120.81600879337752,0.9788312125092079,True
DDO154,light,k2_L,logsvt,12,3,11.435303738377552,1.2705893042641725,20.435303738377552,3.117060726259467,18.890023687741554,4.619571784156827,"{""B"": 0.3631283337843887, ""L"": -0.11372470478305781, ""u2"": 5.552825870618085}",[],3,3,41.74178181712553,0.9835727832348069,True
DDO154,light,C_L,logsvt,12,2,197.20018651844904,19.720018651844903,202.5335198517824,185.2152768396643,202.16999981802505,187.89954791444032,"{""C"": 0.07976542905020648, ""L"": 1.3213185694882434}",[],2,2,24.80876746968229,0.9568361773092977,True
DDO154,light,k2_L_Q,logsvt,12,4,4.330825304432725,0.5413531630540906,18.04511101871844,0.7268680066003554,14.270451903584727,0.0,"{""B"": 0.4084062257433483, ""L"": 0.5448929248634841, ""Q"": 0.7267738362545817, ""u2"": 2.944408761387457}",[],4,4,135.33637840105195,0.9820268481939582,True
