Galaxy,Q,Inc_deg,N,in_primary,Mbar_Msun,vh_kms,vh_lo,vh_hi,chi2red_ssv,chi2red_nfw,nfw_v200,nfw_c,chi2red_mond,chi2red_cored_posthoc,cored_vh,cored_rc_kpc,chi2red_flynn
CamB,2,65.0,9,0,5.3460e+07,0.00,0.00,1.50,5.630,6.112,12.1,1.00,108.192,4.505,294.9,50.00,0.242
D512-2,2,56.0,4,0,2.7023e+08,26.25,24.50,28.00,2.752,0.313,40.0,6.51,2.664,0.072,36.3,1.44,2.595
D564-8,2,63.0,6,0,5.5070e+07,15.50,15.00,16.25,11.567,0.950,96.2,1.00,18.299,0.043,28.1,2.01,2.893
D631-7,1,59.0,16,1,4.8370e+08,31.75,31.25,32.25,46.156,6.172,222.6,1.00,30.050,0.877,80.9,6.59,36.126
DDO064,1,60.0,14,1,3.5913e+08,24.75,23.50,26.25,5.224,0.552,360.8,1.00,0.399,0.344,52.2,1.80,4.911
DDO154,2,64.0,12,0,3.9225e+08,39.50,39.50,39.50,195.724,11.771,62.8,4.96,89.087,1.270,50.3,2.55,1725.576
DDO161,1,70.0,31,1,2.1067e+09,50.75,50.50,51.00,39.508,1.149,104.1,1.99,149.596,0.272,67.8,7.10,88.751
DDO168,2,63.0,10,0,6.4479e+08,32.75,32.25,33.25,47.350,10.733,324.3,1.00,30.058,3.939,69.9,3.48,58.330
DDO170,2,66.0,8,0,1.2490e+09,48.75,48.25,49.00,23.830,2.162,54.7,5.62,152.421,1.289,56.7,3.81,78.967
ESO079-G014,1,79.0,15,1,3.0043e+10,128.25,127.25,129.25,54.700,3.807,225.8,4.53,7.992,0.909,165.4,7.68,93.223
ESO116-G012,1,74.0,15,1,3.5864e+09,79.00,78.50,79.75,70.683,2.338,122.6,6.99,12.885,0.884,107.5,3.44,120.537
ESO444-G084,2,32.0,7,0,2.1505e+08,45.25,44.50,46.00,62.736,0.670,77.9,8.39,27.787,1.923,63.6,1.40,72.437
ESO563-G021,1,83.0,30,1,1.8790e+11,175.00,173.50,176.50,98.137,20.632,256.4,8.99,53.539,9.042,283.2,8.21,594.712
F561-1,3,24.0,6,0,4.1958e+09,27.75,24.25,31.00,0.476,0.423,23.5,10.68,40.197,0.414,30.1,1.73,2.616
F563-1,1,25.0,17,0,5.2075e+09,76.75,74.00,79.50,7.495,1.069,98.8,7.52,2.778,0.484,105.4,3.64,10.557
F563-V1,3,60.0,6,0,1.5813e+09,13.00,9.25,16.25,0.311,0.251,14.3,5.02,34.367,0.217,16.2,1.73,1.677
F563-V2,1,29.0,10,0,4.3778e+09,59.75,56.00,63.50,11.997,1.233,144.3,7.24,4.328,0.179,116.8,2.62,10.679
